Unnamed: 0;lat;long;bm_dens;bm_size;bm_dead
5186;56.95039405;8.943549;0;0;0
5187;56.95038508;8.943549;0;0;0
5188;56.9503761;8.943549;0;0;0
5189;56.95036712;8.943549;0;0;0
5190;56.95035815;8.943549;0;0;0
5191;56.95034917;8.943549;0;0;0
5192;56.9503402;8.943549;0;0;0
5193;56.95033122;8.943549;0;0;0
5194;56.95032225;8.943549;0;0;0
5195;56.95031327;8.943549;0;0;0
5196;56.95030429;8.943549;0;0;0
5197;56.95029532;8.943549;0;0;0
5198;56.95028634;8.943549;0;0;0
5199;56.95027737;8.943549;0;0;0
5200;56.95026839;8.943549;0;0;0
5201;56.95025942;8.943549;0;0;0
5202;56.95025044;8.943549;0;0;0
5203;56.95024147;8.943549;0;0;0
5204;56.95023249;8.943549;0;0;0
5205;56.95022351;8.943549;0;0;0
5206;56.95021454;8.943549;0;0;0
5207;56.95020556;8.943549;0;0;0
5208;56.95019659;8.943549;0;0;0
5209;56.95018761;8.943549;0;0;0
5210;56.95017864;8.943549;0;0;0
5211;56.95016966;8.943549;0;0;0
5212;56.95016068;8.943549;0;0;0
5213;56.95015171;8.943549;0;0;0
5214;56.95014273;8.943549;0;0;0
5215;56.95013376;8.943549;0;0;0
5216;56.95012478;8.943549;0;0;0
5217;56.95011581;8.943549;0;0;0
5218;56.95010683;8.943549;0;0;0
5219;56.95009785;8.943549;0;0;0
5220;56.95008888;8.943549;0;0;0
5221;56.9500799;8.943549;0;0;0
5222;56.95007093;8.943549;0;0;0
5223;56.95006195;8.943549;0;0;0
5224;56.95005298;8.943549;0;0;0
5225;56.950044;8.943549;0;0;0
5226;56.95003502;8.943549;0;0;0
5227;56.95002605;8.943549;0;0;0
5228;56.95001707;8.943549;0;0;0
5229;56.9500081;8.943549;0;0;0
5230;56.94999912;8.943549;0;0;0
5231;56.94999015;8.943549;0;0;0
5232;56.94998117;8.943549;0;0;0
5233;56.94997219;8.943549;0;0;0
5234;56.94996322;8.943549;0;0;0
5235;56.94995424;8.943549;0;0;0
5236;56.94994527;8.943549;0;0;0
5237;56.94993629;8.943549;0;0;0
5238;56.94992732;8.943549;0;0;0
5239;56.94991834;8.943549;0;0;0
5240;56.94990936;8.943549;0;0;0
5241;56.94990039;8.943549;0;0;0
5242;56.94989141;8.943549;0;0;0
5243;56.94988244;8.943549;0;0;0
5244;56.94987346;8.943549;0;0;0
5245;56.94986449;8.943549;0;0;0
5246;56.94985551;8.943549;0;0;0
5247;56.94984653;8.943549;0;0;0
5248;56.94983756;8.943549;0;0;0
5249;56.94982858;8.943549;0;0;0
5250;56.94981961;8.943549;0;0;0
5251;56.94981063;8.943549;0;0;0
5252;56.94980166;8.943549;0;0;0
5253;56.94979268;8.943549;0;0;0
5254;56.9497837;8.943549;0;0;0
5255;56.94977473;8.943549;0;0;0
5256;56.94976575;8.943549;0;0;0
5257;56.94975678;8.943549;0;0;0
5258;56.9497478;8.943549;0;0;0
5259;56.94973883;8.943549;0;0;0
5260;56.94972985;8.943549;0;0;0
5261;56.94972087;8.943549;0;0;0
5262;56.9497119;8.943549;0;0;0
5263;56.94970292;8.943549;0;0;0
5264;56.94969395;8.943549;0;0;0
5265;56.94968497;8.943549;0;0;0
5266;56.949676;8.943549;0;0;0
5267;56.94966702;8.943549;0;0;0
5268;56.94965805;8.943549;0;0;0
5269;56.94964907;8.943549;0;0;0
5270;56.94964009;8.943549;0;0;0
5271;56.94963112;8.943549;0;0;0
5272;56.94962214;8.943549;0;0;0
5273;56.94961317;8.943549;0;0;0
5274;56.94960419;8.943549;0;0;0
5275;56.94959522;8.943549;0;0;0
5276;56.94958624;8.943549;0;0;0
5277;56.94957726;8.943549;0;0;0
5278;56.94956829;8.943549;0;0;0
5279;56.94955931;8.943549;0;0;0
5280;56.94955034;8.943549;0;0;0
5281;56.94954136;8.943549;0;0;0
5282;56.94953239;8.943549;0;0;0
5283;56.94952341;8.943549;0;0;0
5284;56.94951443;8.943549;0;0;0
5285;56.94950546;8.943549;0;0;0
5286;56.94949648;8.943549;0;0;0
5287;56.94948751;8.943549;0;0;0
5288;56.94947853;8.943549;0;0;0
5289;56.94946956;8.943549;0;0;0
5290;56.94946058;8.943549;0;0;0
5291;56.9494516;8.943549;0;0;0
5292;56.94944263;8.943549;0;0;0
5293;56.94943365;8.943549;0;0;0
5294;56.94942468;8.943549;0;0;0
5295;56.9494157;8.943549;0;0;0
5296;56.94940673;8.943549;0;0;0
5297;56.94939775;8.943549;0;0;0
5298;56.94938877;8.943549;0;0;0
5299;56.9493798;8.943549;0;0;0
5300;56.94937082;8.943549;0;0;0
5301;56.94936185;8.943549;0;0;0
5302;56.94935287;8.943549;0;0;0
5303;56.9493439;8.943549;0;0;0
5304;56.94933492;8.943549;0;0;0
5305;56.94932594;8.943549;0;0;0
5306;56.94931697;8.943549;0;0;0
5307;56.94930799;8.943549;0;0;0
5308;56.94929902;8.943549;0;0;0
5309;56.94929004;8.943549;0;0;0
5310;56.94928107;8.943549;0;0;0
5311;56.94927209;8.943549;0;0;0
5312;56.94926311;8.943549;0;0;0
5313;56.94925414;8.943549;0;0;0
5314;56.94924516;8.943549;0;0;0
5315;56.94923619;8.943549;0;0;0
5316;56.94922721;8.943549;0;0;0
5317;56.94921824;8.943549;0;0;0
5318;56.94920926;8.943549;0;0;0
5319;56.94920028;8.943549;0;0;0
5320;56.94919131;8.943549;0;0;0
